Step,Time,Temp,Pressure,Volume,EnergyKinetic,EnergyPotential,EnergyTotal,EnergyTotalPerAtom,NoOfNeighbors,MinDist
0,0.0000,43.056535307495657605,193.10704368564418587,251605.31808377601556,59.8346259622255,-71322.4479169837,-71262.6132910215,-6.6278,0,3.1224
10,0.0007,43.046898768693260706,193.07216341819662375,251605.31808377601556,59.821234297274,-71322.4345265763,-71262.613292279,-6.6278,0,3.1082
20,0.0014,43.016769929332838274,193.0006349896600284,251605.31808377601556,59.7793649777634,-71322.3926600473,-71262.6132950695,-6.6278,0,3.0526
30,0.0021,42.963847969904307433,193.22284528877051457,251605.31808377601556,59.7058206104571,-71322.3191181925,-71262.613297582,-6.6278,1,2.9976
40,0.0028,42.88605484759056452,194.13918939036369693,251605.31808377601556,59.5977133895013,-71322.2110113139,-71262.6132979244,-6.6278,3,2.9433
50,0.0036,42.783049698671696603,196.00501896667179835,251605.31808377601556,59.4545696248271,-71322.0678653584,-71262.6132957336,-6.6278,3,2.8897
60,0.0043,42.656416139277403943,198.56817411534993312,251605.31808377601556,59.2785900294762,-71321.8918833973,-71262.6132933678,-6.6278,3,2.8368
70,0.0050,42.508223398845991881,201.13290603692578884,251605.31808377601556,59.0726501615629,-71321.6859398313,-71262.6132896697,-6.6278,3,2.7848
80,0.0057,42.341578965235299847,203.17279054214023404,251605.31808377601556,58.8410684218207,-71321.454352376,-71262.6132839541,-6.6278,3,2.7333
90,0.0064,42.161234547920955151,204.32773797295197937,251605.31808377601556,58.5904481460062,-71321.2037255496,-71262.6132774036,-6.6278,3,2.6823
100,0.0071,41.97260843239705963,204.52320571997537968,251605.31808377601556,58.3283189944506,-71320.9415913624,-71262.613272368,-6.6278,3,2.6323
110,0.0079,41.779761394562939358,204.1153791302074012,251605.31808377601556,58.060324129227,-71320.6735964474,-71262.6132723182,-6.6278,3,2.5833
120,0.0086,41.582409501506354843,204.02067807827344836,251605.31808377601556,57.7860689756331,-71320.3993504763,-71262.6132815007,-6.6278,3,2.5354
130,0.0093,41.372250697345329229,205.7918081446628662,251605.31808377601556,57.4940163673626,-71320.1073207613,-71262.6133043939,-6.6278,3,2.4886
140,0.0100,41.129085350338506544,211.63751263563881366,251605.31808377601556,57.156095364634,-71319.7694401491,-71262.6133447845,-6.6278,3,2.4430
150,0.0108,40.817476677259740825,224.37729728031735021,251605.31808377601556,56.7230603266985,-71319.3364648558,-71262.6134045291,-6.6278,3,2.3988
160,0.0115,40.384957683904573855,247.27061206857231923,251605.31808377601556,56.12199914042,-71318.7354807978,-71262.6134816573,-6.6278,3,2.3560
170,0.0123,39.763276809062311656,283.69767082370714206,251605.31808377601556,55.2580642615822,-71317.8716318966,-71262.613567635,-6.6278,3,2.3149
180,0.0130,38.902228013098024917,316.70469429250238136,251605.31808377601556,54.061485570942,-71316.6748019652,-71262.6133163943,-6.6278,3,2.2757
190,0.0138,37.945259459032911309,325.48695289547964649,251605.31808377601556,52.7316095119148,-71315.3449044636,-71262.6132949517,-6.6278,3,2.2388
200,0.0146,36.957616377496812277,333.67746986128037179,251605.31808377601556,51.3591058038052,-71313.9723772958,-71262.613271492,-6.6278,3,2.2042
210,0.0154,35.960750799586101323,341.2639545558545251,251605.31808377601556,49.9737858154938,-71312.5870324878,-71262.6132466723,-6.6278,3,2.1723
220,0.0162,34.978908988617924081,348.29001718319346992,251605.31808377601556,48.6093439928113,-71311.2225653671,-71262.6132213743,-6.6278,3,2.1432
230,0.0170,34.038729597343689193,354.81237738604534115,251605.31808377601556,47.3027994273341,-71309.915996193,-71262.6131967656,-6.6278,3,2.1172
240,0.0179,33.168522367241017434,360.88302123170456071,251605.31808377601556,46.0934934822328,-71308.7066679084,-71262.6131744262,-6.6278,3,2.0946
250,0.0188,32.396950296009642045,366.61988536761572277,251605.31808377601556,45.0212584323078,-71307.6344151121,-71262.6131566798,-6.6278,3,2.0755
260,0.0197,31.751371112009060482,371.99116655474261961,251605.31808377601556,44.1241126511202,-71306.737255363,-71262.6131427119,-6.6278,3,2.0604
270,0.0206,31.257687095778280195,376.72008956208543395,251605.31808377601556,43.4380519115894,-71306.0511853749,-71262.6131334634,-6.6278,3,2.0495
280,0.0216,30.939066550441918224,380.56989936364840332,251605.31808377601556,42.9952726443323,-71305.608403823,-71262.6131311786,-6.6278,3,2.0430
290,0.0225,30.813202308064262525,383.4731520404479852,251605.31808377601556,42.8203621502365,-71305.4335000315,-71262.6131378813,-6.6278,3,2.0412
