Step,Time,Temp,Pressure,Volume,EnergyKinetic,EnergyPotential,EnergyTotal,EnergyTotAtom
1300000,1300.0000,10.052033822860767742,0.095737252470884132149,251605.31808377601556,13.9690683343443,-71322.5752875955,-71308.6062192611,-6.6321
1300100,1300.1000,9.8309049553379139752,-6.9683113725958056861,251605.31808377601556,13.6617708942881,-71322.2679548279,-71308.6061839336,-6.6321
1300200,1300.2000,9.9201446611268444542,-2.8543857943674826316,251605.31808377601556,13.7857851555083,-71322.3919755543,-71308.6061903988,-6.6321
1300300,1300.3000,9.8881290822995815404,-4.3618886264251841567,251605.31808377601556,13.7412938797841,-71322.3474842416,-71308.6061903618,-6.6321
1300400,1300.4000,10.0286199131765148,-0.028860633863050131481,251605.31808377601556,13.9365305902303,-71322.542740585,-71308.6062099948,-6.6321
1300500,1300.5000,9.9056308994924133771,-4.5648591983621038537,251605.31808377601556,13.7656157319237,-71322.3718151942,-71308.6061994623,-6.6321
1300600,1300.6000,10.016140875934087973,-1.0267668595478169902,251605.31808377601556,13.9191887739314,-71322.5254008402,-71308.6062120663,-6.6321
1300700,1300.7000,9.9605859194900521203,-1.8828871000352453979,251605.31808377601556,13.8419853943413,-71322.4481920242,-71308.6062066298,-6.6321
1300800,1300.8000,9.9229963986371441109,-2.8647960734066857391,251605.31808377601556,13.7897481461682,-71322.3959480968,-71308.6061999506,-6.6321
1300900,1300.9000,9.9328177120001654998,-4.9479957082589720585,251605.31808377601556,13.8033965878586,-71322.409601985,-71308.6062053971,-6.6321
1301000,1301.0000,10.018522730609928928,-2.2076123281224329098,251605.31808377601556,13.9224987797785,-71322.528715529,-71308.6062167492,-6.6321
1301100,1301.1000,9.971008185800695145,-2.3122750170314869678,251605.31808377601556,13.8564689658113,-71322.4626855852,-71308.6062166194,-6.6321
1301200,1301.2000,10.049243618845405734,-0.68059810434311052152,251605.31808377601556,13.9651908552943,-71322.5714191949,-71308.6062283396,-6.6321
1301300,1301.3000,9.9734811973301376042,-2.8285201465663818432,251605.31808377601556,13.8599056501336,-71322.4661203848,-71308.6062147347,-6.6321
1301400,1301.4000,9.9424002125884047842,-4.2123697747000052871,251605.31808377601556,13.8167131572106,-71322.4229210266,-71308.6062078694,-6.6321
1301500,1301.5000,9.9945013263799893366,-2.3048242792496265174,251605.31808377601556,13.8891168151843,-71322.4953342531,-71308.6062174379,-6.6321
1301600,1301.6000,9.9919172091687737947,-1.6835251121617231806,251605.31808377601556,13.8855257299827,-71322.4917385766,-71308.6062128466,-6.6321
1301700,1301.7000,9.942224489957636635,-2.9877657648366735543,251605.31808377601556,13.8164689597198,-71322.4226787496,-71308.6062097899,-6.6321
1301800,1301.8000,10.047291648020458155,-0.3016779498119254721,251605.31808377601556,13.9624782486397,-71322.5686966554,-71308.6062184067,-6.6321
1301900,1301.9000,9.9013306669918570435,-4.2409447900360381922,251605.31808377601556,13.7596398028021,-71322.3658384582,-71308.6061986554,-6.6321
1302000,1302.0000,10.002698828302399647,-1.9400574049385812536,251605.31808377601556,13.9005086853812,-71322.5067184898,-71308.6062098044,-6.6321
1302100,1302.1000,9.9738413177848137536,-2.3736524828475369375,251605.31808377601556,13.8604061008214,-71322.4666200312,-71308.6062139304,-6.6321
1302200,1302.2000,10.038701141241947568,-0.54135188745808937583,251605.31808377601556,13.9505402290976,-71322.5567571934,-71308.6062169643,-6.6321
1302300,1302.3000,9.8340169540448538754,-6.9073716576528960687,251605.31808377601556,13.6660955636396,-71322.2722858884,-71308.6061903247,-6.6321
1302400,1302.4000,10.034861569610516341,-0.14346431257519631774,251605.31808377601556,13.9452044692465,-71322.5514153376,-71308.6062108684,-6.6321
1302500,1302.5000,9.947796995694778488,-4.113528318282431151,251605.31808377601556,13.8242129361934,-71322.4304210852,-71308.606208149,-6.6321
1302600,1302.6000,9.9207240768894990879,-2.248241798585373985,251605.31808377601556,13.7865903555828,-71322.3927875361,-71308.6061971805,-6.6321
1302700,1302.7000,9.9706301812730266931,-1.4287588790647680614,251605.31808377601556,13.8559436620598,-71322.4621475427,-71308.6062038806,-6.6321
1302800,1302.8000,9.919803545805974565,-4.4784954227297655294,251605.31808377601556,13.7853111157954,-71322.3915115829,-71308.6062004671,-6.6321
1302900,1302.9000,9.971224813151279065,-2.8843588419571011272,251605.31808377601556,13.8567700076021,-71322.4629803312,-71308.6062103235,-6.6321
1303000,1303.0000,10.049093457043554167,-0.50268895526223111858,251605.31808377601556,13.9649821790694,-71322.5712040667,-71308.6062218876,-6.6321
1303100,1303.1000,9.9299991346876517184,-4.1906938976496714844,251605.31808377601556,13.7994796791237,-71322.4056843261,-71308.606204647,-6.6321
1303200,1303.2000,9.9265250429961842116,-4.5769265091982509475,251605.31808377601556,13.7946518179074,-71322.4008534906,-71308.6062016727,-6.6321
1303300,1303.3000,10.00238496895070206,-2.9612603377983663933,251605.31808377601556,13.9000725226296,-71322.5062871754,-71308.6062146528,-6.6321
1303400,1303.4000,10.01902696835558082,-2.0626547384820539399,251605.31808377601556,13.9231995067806,-71322.5294203405,-71308.6062208337,-6.6321
1303500,1303.5000,9.9799559858115856059,-2.8686867442344925472,251605.31808377601556,13.8689035071188,-71322.4751164044,-71308.6062128973,-6.6321
1303600,1303.6000,10.014940461255672943,-1.499981146366679452,251605.31808377601556,13.9175205866801,-71322.5237322022,-71308.6062116155,-6.6321
1303700,1303.7000,9.9084694181956063375,-5.5687894601265286454,251605.31808377601556,13.769560352727,-71322.3757574647,-71308.6061971119,-6.6321
1303800,1303.8000,9.8715992834025687586,-4.3345082332880373599,251605.31808377601556,13.7183228179658,-71322.324509824,-71308.606187006,-6.6321
1303900,1303.9000,9.9095353695093510993,-4.6141466242658815133,251605.31808377601556,13.7710416794919,-71322.377239923,-71308.6061982435,-6.6321
1304000,1304.0000,10.065483131496801406,0.020998627722985517552,251605.31808377601556,13.9877585133366,-71322.5939828913,-71308.606224378,-6.6321
1304100,1304.1000,9.9752807670165264398,-3.5066811151454189144,251605.31808377601556,13.8624064686112,-71322.4686288501,-71308.6062223815,-6.6321
1304200,1304.2000,10.062372425243946594,-1.4342122447953866704,251605.31808377601556,13.9834356400773,-71322.5896664629,-71308.6062308228,-6.6321
1304300,1304.3000,9.8999348861388618559,-6.1083966998897212264,251605.31808377601556,13.7577001199022,-71322.3639088926,-71308.6062087727,-6.6321
1304400,1304.4000,10.020582746369495197,-0.99687124644629654391,251605.31808377601556,13.9253615338661,-71322.5315844531,-71308.6062229192,-6.6321
1304500,1304.5000,10.104488381224854265,1.3195970686073763556,251605.31808377601556,14.0419631656937,-71322.6482005371,-71308.6062373714,-6.6321
1304600,1304.6000,10.007439530222942636,-1.1029734213418200817,251605.31808377601556,13.9070967242048,-71322.5133145843,-71308.6062178601,-6.6321
1304700,1304.7000,9.8978497772817242151,-3.9979758335380628509,251605.31808377601556,13.7548024945437,-71322.3609992888,-71308.6061967942,-6.6321
1304800,1304.8000,9.9763299255962856193,-2.0764812016057265787,251605.31808377601556,13.8638644589197,-71322.4700657461,-71308.6062012872,-6.6321
1304900,1304.9000,9.9012756047845442708,-3.3015239311148421031,251605.31808377601556,13.759563284184,-71322.3657585588,-71308.6061952746,-6.6321
1305000,1305.0000,9.9809408695618255791,-1.9473456165615505853,251605.31808377601556,13.8702721762509,-71322.4764787231,-71308.6062065469,-6.6321
1305100,1305.1000,9.9544600610745153091,-3.1273680324963293309,251605.31808377601556,13.8334724370313,-71322.4396752667,-71308.6062028296,-6.6321
1305200,1305.2000,9.9009482253381566608,-3.1471223365316935983,251605.31808377601556,13.7591083328838,-71322.36529583,-71308.6061874971,-6.6321
1305300,1305.3000,9.8864953449637358318,-4.2803538921704351594,251605.31808377601556,13.7390235145141,-71322.3452078241,-71308.6061843096,-6.6321
1305400,1305.4000,9.9392381229621626915,-3.6899990880395505677,251605.31808377601556,13.8123188777198,-71322.4185182557,-71308.6061993779,-6.6321
1305500,1305.5000,10.007351253379940914,-2.0458375028604232071,251605.31808377601556,13.9069740480107,-71322.5131901,-71308.606216052,-6.6321
1305600,1305.6000,9.9811740400032853415,-2.8653818662918166815,251605.31808377601556,13.8705962075751,-71322.4768104846,-71308.606214277,-6.6321
1305700,1305.7000,9.9810838728330182335,-2.7005663268703399282,251605.31808377601556,13.8704709044389,-71322.4766891204,-71308.606218216,-6.6321
1305800,1305.8000,10.039693026640241769,-2.5788231090963198433,251605.31808377601556,13.9519186282507,-71322.5581536402,-71308.6062350119,-6.6321
1305900,1305.9000,10.098776236403491424,-1.4069918186850147723,251605.31808377601556,14.0340251361614,-71322.6402697131,-71308.6062445769,-6.6321
1306000,1306.0000,10.013579055096805348,-2.7118891347939926284,251605.31808377601556,13.9156286734615,-71322.5218554459,-71308.6062267724,-6.6321
1306100,1306.1000,9.9643360255351556276,-3.1130211669639789029,251605.31808377601556,13.8471968260305,-71322.4534151472,-71308.6062183211,-6.6321
1306200,1306.2000,10.013752686325542385,-2.000718672048651392,251605.31808377601556,13.9158699645815,-71322.5220947418,-71308.6062247772,-6.6321
1306300,1306.3000,10.038718644874208508,-0.58631000817033163131,251605.31808377601556,13.9505645534721,-71322.556790459,-71308.6062259056,-6.6321
1306400,1306.4000,10.010377615220305003,-1.677839269722421367,251605.31808377601556,13.9111797098795,-71322.5173998687,-71308.6062201588,-6.6321
1306500,1306.5000,9.9973468212124654286,-2.4117386180316056077,251605.31808377601556,13.8930711305458,-71322.4992843067,-71308.6062131761,-6.6321
1306600,1306.6000,9.9582010650688310704,-2.5957539349186968813,251605.31808377601556,13.8386712198206,-71322.4448754352,-71308.6062042154,-6.6321
1306700,1306.7000,9.8843321454106867208,-5.7894895199696350119,251605.31808377601556,13.7360173684038,-71322.3422166846,-71308.6061993162,-6.6321
1306800,1306.8000,10.010120622043816141,-2.2372611200312015889,251605.31808377601556,13.9108225726765,-71322.517039503,-71308.6062169303,-6.6321
1306900,1306.9000,10.003295805908608784,-1.3750600288263601367,251605.31808377601556,13.901338290725,-71322.5075530526,-71308.6062147618,-6.6321
1307000,1307.0000,9.9411625265486929237,-3.2097069552983956697,251605.31808377601556,13.8149931748498,-71322.4212001344,-71308.6062069596,-6.6321
1307100,1307.1000,10.001636110928528112,-0.35586533300271577795,251605.31808377601556,13.8990318527444,-71322.5052447414,-71308.6062128886,-6.6321
1307200,1307.2000,9.9503693740369083542,-3.1483384783530983242,251605.31808377601556,13.8277877081725,-71322.4339949753,-71308.6062072672,-6.6321
1307300,1307.3000,9.9225418829216742722,-3.9716535555443979177,251605.31808377601556,13.7891165166691,-71322.3953176559,-71308.6062011392,-6.6321
1307400,1307.4000,9.9482541524783236753,-3.4347508403043298664,251605.31808377601556,13.8248482359209,-71322.4310546843,-71308.6062064484,-6.6321
1307500,1307.5000,10.081490127232108023,0.89523823510759159561,251605.31808377601556,14.0100030482431,-71322.6162297394,-71308.6062266912,-6.6321
1307600,1307.6000,9.935379978652294497,-4.0830603758474275367,251605.31808377601556,13.8069573078666,-71322.4131605761,-71308.6062032682,-6.6321
1307700,1307.7000,9.9667798821811146581,-2.5206089612748443507,251605.31808377601556,13.8505929945163,-71322.4568001736,-71308.6062071791,-6.6321
1307800,1307.8000,10.000343257723843138,-1.4397424224647659141,251605.31808377601556,13.8972352059085,-71322.5034485654,-71308.6062133595,-6.6321
1307900,1307.9000,9.866951521308093831,-4.9490529796165931842,251605.31808377601556,13.7118639353711,-71322.318051485,-71308.6061875497,-6.6321
1308000,1308.0000,9.9552668483782351672,-3.4136960662250115384,251605.31808377601556,13.8345936098383,-71322.4407986549,-71308.6062050451,-6.6321
1308100,1308.1000,10.017787437912515358,-1.201639214988339921,251605.31808377601556,13.9214769612971,-71322.5276967452,-71308.6062197839,-6.6321
1308200,1308.2000,9.9748480077483865358,-2.7643529765855721081,251605.31808377601556,13.8618050735209,-71322.4680279773,-71308.6062229037,-6.6321
1308300,1308.3000,10.101960578783037548,0.13761234589576842868,251605.31808377601556,14.0384503397653,-71322.6446844231,-71308.6062340834,-6.6321
1308400,1308.4000,9.9032505025471380122,-6.0888150137380518956,251605.31808377601556,13.7623077518495,-71322.3685155701,-71308.6062078182,-6.6321
1308500,1308.5000,10.014430582680828863,-1.7901912878887611402,251605.31808377601556,13.9168120207541,-71322.5230354558,-71308.606223435,-6.6321
1308600,1308.6000,10.063920171583916385,-0.20236255211423642697,251605.31808377601556,13.9855865057398,-71322.5918210358,-71308.60623453,-6.6321
1308700,1308.7000,10.015639209181832925,-2.5314950330674736989,251605.31808377601556,13.9184916197766,-71322.5247222576,-71308.6062306378,-6.6321
1308800,1308.8000,10.052024344302392223,-1.6766288428943429967,251605.31808377601556,13.9690551622209,-71322.5752900049,-71308.6062348426,-6.6321
1308900,1308.9000,10.04293095969157612,-1.8166916377251038917,251605.31808377601556,13.9564183055153,-71322.5626499487,-71308.6062316432,-6.6321
1309000,1309.0000,10.04359681434921292,-1.338041101394314758,251605.31808377601556,13.957343627632,-71322.5635721459,-71308.6062285183,-6.6321
1309100,1309.1000,9.9597203378324294931,-3.5274063046718735492,251605.31808377601556,13.8407825164425,-71322.4469986954,-71308.6062161789,-6.6321
1309200,1309.2000,10.017471438656297522,-0.55138125331616827385,251605.31808377601556,13.921037824772,-71322.5272655621,-71308.6062277374,-6.6321
1309300,1309.3000,10.090612464253313263,-1.3472048846157369528,251605.31808377601556,14.0226801394133,-71322.6289250867,-71308.6062449473,-6.6321
1309400,1309.4000,10.101318466243879968,-0.16578905341195990242,251605.31808377601556,14.0375580114966,-71322.6437983356,-71308.6062403241,-6.6321
