Step,Time,Temp,Pressure,Volume,EnergyKinetic,EnergyPotential,EnergyTotal,EnergyTotAtom
100000,100.0000,10.064999711028082885,-147.77366973611600542,251388.35631651812582,13.9870867156009,-71314.5266405295,-71300.5395538139,-6.6314
100100,100.1000,10.032991958968189294,-149.82517879081365209,251388.35631651812582,13.9426063165461,-71314.4821563501,-71300.5395500336,-6.6314
100200,100.2000,9.9469548879775526729,-151.32165347428554014,251388.35631651812582,13.8230426794618,-71314.3625725328,-71300.5395298533,-6.6314
100300,100.3000,9.8533587660722083967,-153.21618572125450441,251388.35631651812582,13.6929744121076,-71314.2324975145,-71300.5395231024,-6.6314
100400,100.4000,10.044697888788469697,-148.63451427782433711,251388.35631651812582,13.958873764155,-71314.4984334729,-71300.5395597087,-6.6314
100500,100.5000,9.9903224600212254813,-151.32178951113530729,251388.35631651812582,13.8833095456551,-71314.4228876297,-71300.539578084,-6.6314
100600,100.6000,9.992381262822204846,-150.43868027717903146,251388.35631651812582,13.8861706141235,-71314.4257431747,-71300.5395725606,-6.6314
100700,100.7000,10.042161325156492069,-149.64281113608265628,251388.35631651812582,13.9553487630125,-71314.4949331096,-71300.5395843466,-6.6314
100800,100.8000,10.06952438432335839,-151.62701100617346128,251388.35631651812582,13.9933745446677,-71314.5329968092,-71300.5396222645,-6.6314
100900,100.9000,10.170899355492689864,-146.13143906781087367,251388.35631651812582,14.1342528907429,-71314.6738793008,-71300.53962641,-6.6314
101000,101.0000,9.8756532916294723634,-153.07077632819596147,251388.35631651812582,13.7239565751683,-71314.2635484911,-71300.5395919159,-6.6314
101100,101.1000,9.9926791600413320538,-150.71661096126769053,251388.35631651812582,13.8865845946854,-71314.4261878884,-71300.5396032937,-6.6314
101200,101.2000,9.7889218135449862501,-155.64812133846479014,251388.35631651812582,13.6034279373373,-71314.1430209689,-71300.5395930315,-6.6314
101300,101.3000,9.9521745715494844831,-152.24267959704619102,251388.35631651812582,13.830296347504,-71314.3699310181,-71300.5396346706,-6.6314
101400,101.4000,10.205053688740479245,-141.4142161845152259,251388.35631651812582,14.1817163417679,-71314.7213862751,-71300.5396699333,-6.6314
101500,101.5000,9.7060978952273124776,-160.18027914060203898,251388.35631651812582,13.4883295408251,-71314.0279715337,-71300.5396419929,-6.6314
101600,101.6000,10.016510159756721876,-148.63792403632263017,251388.35631651812582,13.91970195873,-71314.4593941746,-71300.5396922159,-6.6314
101700,101.7000,9.9514522235044964305,-153.29139758642554625,251388.35631651812582,13.8292925178931,-71314.3689995662,-71300.5397070483,-6.6314
101800,101.8000,9.9552264939603407612,-150.87231651586208159,251388.35631651812582,13.8345375302795,-71314.3742536209,-71300.5397160906,-6.6314
101900,101.9000,9.9981895684408446101,-149.4762337878250662,251388.35631651812582,13.8942422759905,-71314.4339824282,-71300.5397401522,-6.6314
102000,102.0000,9.9390038504108542128,-151.12621498288021371,251388.35631651812582,13.8119933148203,-71314.3517506975,-71300.5397573827,-6.6314
