Step,Time,Temp,Pressure,Volume,EnergyKinetic,EnergyPotential,EnergyTotal,EnergyTotAtom
0,0.0000,20,118.09117292414920541,251388.35631651812582,27.7935163779,-71328.3350637195,-71300.5415473415,-6.6340
100,0.1000,9.9004989275010633065,-222.14145939434231991,251388.35631651812582,13.7584839545441,-71314.2987182021,-71300.5402342476,-6.6340
200,0.2000,11.648949915802552013,-124.01031225989294171,251388.35631651812582,16.1882640135098,-71316.7283599953,-71300.5400959818,-6.6340
300,0.3000,12.059953892091151317,-116.88219106681863479,251388.35631651812582,16.7594263008277,-71317.2996104998,-71300.540184199,-6.6340
400,0.4000,10.928396403928024583,-142.68318886365298681,251388.35631651812582,15.1869282218379,-71315.7268782606,-71300.5399500388,-6.6340
500,0.5000,11.177839743589155219,-135.15951193387897433,251388.35631651812582,15.5335735991493,-71316.0734758582,-71300.5399022591,-6.6340
600,0.6000,10.559407609244322757,-146.61600560083033429,251388.35631651812582,14.6741534164227,-71315.213933242,-71300.5397798256,-6.6340
700,0.7000,10.779394554696441588,-134.54400709745644349,251388.35631651812582,14.9798639549901,-71315.5196159988,-71300.5397520438,-6.6340
800,0.8000,10.212810016925082834,-153.29066442761782696,251388.35631651812582,14.1924951234894,-71314.7321395651,-71300.5396444416,-6.6340
900,0.9000,10.302902969575546521,-143.10048830899867767,251388.35631651812582,14.3176951212406,-71314.8573171774,-71300.5396220562,-6.6340
1000,1.0000,10.192404785618057517,-147.36160585047971949,251388.35631651812582,14.1641384669631,-71314.7037291973,-71300.5395907304,-6.6340
1100,1.1000,9.9057567901620497963,-156.28093207857938296,251388.35631651812582,13.7657906791432,-71314.305340517,-71300.5395498379,-6.6340
1200,1.2000,10.283893460880179305,-146.87496884059802937,251388.35631651812582,14.2912780666776,-71314.8308985811,-71300.5396205144,-6.6340
1300,1.3000,10.346110945130313041,-143.31758808247596448,251388.35631651812582,14.3777402000525,-71314.91738678,-71300.5396465799,-6.6340
1400,1.4000,10.274605139401678855,-148.14112307556422365,251388.35631651812582,14.2783703109208,-71314.8180167703,-71300.5396464593,-6.6340
1500,1.5000,10.373710103247702818,-144.02133420568137012,251388.35631651812582,14.4160940827101,-71314.9557441756,-71300.5396500929,-6.6340
1600,1.6000,10.137541359580184874,-148.56799065045026964,251388.35631651812582,14.0878960904565,-71314.6274928346,-71300.5395967441,-6.6340
1700,1.7000,9.9473421881126711241,-155.53815302604391491,251388.35631651812582,13.8235809010943,-71314.3631500653,-71300.5395691642,-6.6340
1800,1.8000,10.313674632923632402,-143.98940050441345306,251388.35631651812582,14.3326642413247,-71314.8722812638,-71300.5396170225,-6.6340
1900,1.9000,10.132843612001181555,-146.71447956617890895,251388.35631651812582,14.0813677442427,-71314.620939399,-71300.5395716548,-6.6340
2000,2.0000,9.7621369111467544144,-155.1312394736021929,251388.35631651812582,13.566205606163,-71314.1057056341,-71300.5395000279,-6.6340
2100,2.1000,9.9948860316326868514,-150.96113992653474156,251388.35631651812582,13.8896514307714,-71314.4291817063,-71300.5395302755,-6.6340
2200,2.2000,9.9254412409503061099,-151.47459719673315703,251388.35631651812582,13.7931456844118,-71314.3326603468,-71300.5395146624,-6.6340
2300,2.3000,9.8398462455064628074,-154.87881081760482971,251388.35631651812582,13.6741963890251,-71314.2137154488,-71300.5395190598,-6.6340
2400,2.4000,10.345455825293747409,-139.97300096624871912,251388.35631651812582,14.3768297958571,-71314.9164198923,-71300.5395900964,-6.6340
2500,2.5000,9.7918242612183306051,-155.50963531900652015,251388.35631651812582,13.6074613986845,-71314.1469743578,-71300.5395129591,-6.6340
2600,2.6000,9.8650932137541751388,-155.33034405816411549,251388.35631651812582,13.7092814902993,-71314.2488096904,-71300.5395282001,-6.6340
2700,2.7000,10.325974487683112102,-140.79164569951595354,251388.35631651812582,14.3497570520599,-71314.8893443983,-71300.5395873462,-6.6340
2800,2.8000,9.6975086775122942839,-162.06946420611794224,251388.35631651812582,13.4763933126633,-71314.0159138476,-71300.5395205349,-6.6340
2900,2.9000,10.442632085691004207,-137.62060830239579445,251388.35631651812582,14.5118732951018,-71315.0514873802,-71300.5396140851,-6.6340
3000,3.0000,9.9845631426900585126,-152.63096075031882037,251388.35631651812582,13.8753059616266,-71314.414872815,-71300.5395668534,-6.6340
3100,3.1000,10.053486084708666226,-149.31471052131374222,251388.35631651812582,13.971086507517,-71314.5106403314,-71300.5395538238,-6.6340
3200,3.2000,10.008365277704964313,-150.86730734242030394,251388.35631651812582,13.9083832130949,-71314.4479300866,-71300.5395468735,-6.6340
3300,3.3000,9.8941222302986346904,-153.37536351113206479,251388.35631651812582,13.7496224126375,-71314.289153498,-71300.5395310853,-6.6340
3400,3.4000,10.174187328401593788,-146.80147642598376478,251388.35631651812582,14.1388221071876,-71314.6783931991,-71300.5395710919,-6.6340
3500,3.5000,9.9777986000791152321,-152.08752002990584629,251388.35631651812582,13.8659054403343,-71314.4054525541,-71300.5395471137,-6.6340
